itemid,ITENNAME,pack,manufacturer,CATG,SUBCATG,mrp
KET0524,KETOALFA-DS TAB 10'S,,ALNICHE LIFE SCIENCES PVT LTD,PHARMA,TABLET,
KET0537,KETOROL SP TAB 10'S,,DR REDDY'S LABORATORIES,PHARMA,TABLET,
KET0557,KETOTRU TAB 10'S,,WILSHIRE PHARMACEUTICAL PVT LTD,PHARMA,TABLET,
KET0566,KETOLENT 10 TAB 10'S,,THULASI PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
KET0571,KETOMAC HAIR OIL 130ML (TORQUE),,TORQUE PHARMACEUTICALS PVT LTD,FMCG,AYURVEDIC,
KET0574,KETOMUS SHAMPOO 50ML,,NAIRA,PHARMA,SHAMPOO,
KEV0005,KEVON  60ML LOTION,,GLOWDERMA LAB PVT LTD,PHARMA,LIQUID,
KEV0018,KEVON 2%W/V LOTION 75ML,,GLOWDERMA LAB PVT LTD,PHARMA,LOTION,
KEY0004,KEYCAL TAB 10'S,,RAVENMAC PHARMA PVT LTD,PHARMA,TABLET,
KEY0005,KEYCAL PM TAB 10'S,,RAVENMAC PHARMA PVT LTD,PHARMA,TABLET,
KEY0006,KEYCAL D3 SACHET 5GRM,,RAVENMAC PHARMA PVT LTD,PHARMA,POWDER,
KEY0026,KEYGERD DSR CAP 10'S,,ENOVUS HEALTHCARE PVT LTD,PHARMA,CAPSULE,
KEY0027,KEYMAX CAP 10'S,,ELNOVA PHARMA,PHARMA,CAPSULE,
KEY0042,KEYCAL S/F VANILLA FLAV SUSP 200ML,,RAVENMAC PHARMA PVT LTD,PHARMA,LIQUID,
KGL0001,K-GLIM 1MG TAB 10'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KGL0009,K-GLIM M 1MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KGL0012,K-GLIM-M FORTE 1MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KGL0014,K-GLIM 1MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KGL0015,K-GLIM-M FORTE 2MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KGL0016,K-GLIM-M 2MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KHA0064,KHADIRARISHTA 450 ML,,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,FMCG,OTC,
KHO0011,KHOLER SF VANILLA FLAV POWDER 400G,,MAKSHI HEALTHCARE PVT LTD,PHARMA,POWDER,
KID0007,KIDICARE PLUS SYRUP 200ML,,MEYER ORGANICS PVT LTD,PHARMA,LIQUID,
KID0018,KIDODENT  PASTE 75GMS,,WARREN PHARMACEUTICALS LTD,FMCG,PERSONAL CARE,
KID0023,KIDNEY TRAY - S.S,,ADONIS LABORATORIES PVT LTD,SURGICAL,RE-HABILITATION,
KID0065,KIDRICH D3 15ML DROPS,,DR REDDY'S LABORATORIES,PHARMA,DROPS,
KID0068,KIDODENT MOUTHWASH 150ML,,INDOCO REMEDIES LTD,PHARMA,LIQUID,
KID0071,KIDGLO BATHING BAR 75GM,,GLENMARK PHARMACEUTICAL LTD,FMCG,PERSONAL CARE,
KID0072,KIDICARE-D 200ML SYP,,MEYER ORGANICS PVT LTD,PHARMA,LIQUID,
KID0090,KIDICOLIC 30ML DROPS,,RIGHT AID ORGANIC PVT LTD,PHARMA,DROPS,
KID0100,KIDOSIS 500MG TAB 10'S,,WALRON HEALTHCARE PVT LTD,PHARMA,TABLET,
KID0110,KIDTRO 0.1 EYE DROPS 5ML,,SUN PHARMA LABORATORIES LTD.,PHARMA,DROPS,
KIL0019,KILFAT CAP 10'S,,AKUMENTIS HEALTHCARE LTD,PHARMA,CAPSULE,
KIM0001,KIMET XL-25MG TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
KIM0003,KIMET XL 50 MG TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
KIM0004,KIMET XL 12.5 MG TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
KIN0003,KINETO DP - CAP 10'S,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,TABLET,
KIN0019,KINETO FORTE TAB 10'S,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,TABLET,
KIN0030,KINPRIDE 1MG TAB 10'S,,DR REDDY'S LABORATORIES,PHARMA,TABLET,
KIN0110,KINDSAVE TAB 10'S,,BIOKIND HEALTH CARE PVT LTD,PHARMA,TABLET,
KIN0145,KINDPURA D3 60K S/F RASPBERRY FLAV ORAL SOLUTION 5ML,,KINDSPIRIT PHARMACEUTICALS,PHARMA,LIQUID,
KIO0003,K-ION 10 MG TAB 10'S,,NOUVEAU MEDICAMENT PVT LTD,PHARMA,TABLET,
KIP0002,KIPNOL 10MG TAB 10'S,,ABS REMEDIES,PHARMA,TABLET,
KIP0011,KIPNOL TR 80 CAP 10'S,,KIVI LABS LIMITED,PHARMA,TABLET,
KIR0005,KIRIRAB-DSR CAP 10'S,,LEVIN LIFESCIENCES PVT LTD,PHARMA,CAPSULE,
KIR0006,KIRIZYME 200ML SYP,,KIRITINE PHARMA,PHARMA,LIQUID,
KIT0056,KITMOX-DX DROPS 10ML,,PROVIS HEALTHCARE PVT LTD,PHARMA,DROPS,
KIT0064,KITAVA ACNE BUSTER GEL 50ML,,ADONIS LABORATORIES PVT LTD,PHARMA,OINTMENT,
KIT0068,KI-TENSE 100MG CAP 10'S,,KIBRIA & SONS PHARMACEUTICALS PVT LTD,PHARMA,CAPSULE,
KIV0026,KIVIZAM-10MG TAB 10'S,,KIVI LABS LIMITED,PHARMA,TABLET,
KLE0006,KLEENZ 60ML LOTION,,ABS REMEDIES,FMCG,PERSONAL CARE,
KLE0023,KLECORT 0.05% CREAM 30G,,ASK-ASKLE PHARMA,PHARMA,OINTMENT,
KLE0024,KLEPUTAB-FM TAB 10'S,,AAR ESS REMEDIES PVT LTD,PHARMA,TABLET,
KLE0025,KLEPUTAB-LM TAB 10'S,,AAR ESS REMEDIES PVT LTD,PHARMA,TABLET,
KLI0003,KLIK CLAMP (ROMSONS),,ROM-ROMSONS SCIENTIFIC & SURGICAL,SURGICAL,RE-HABILITATION,
KLI0014,KLIN FACE CLEANSER 50G,,PROCTER & GAMBLE INDIA,FMCG,PERSONAL CARE,
KLI0026,KLINFACEWASH100ML,,KLM LABORATORIES PVT LTD,FMCG,PERSONAL CARE,
KLM0002,KLM-KLIN AHA FACE WASH-100G,,KLM LABORATORIES PVT LTD,FMCG,PERSONAL CARE,
KLM0003,KLMKLIN 50GM  FACEWASH,,KLM LABORATORIES PVT LTD,FMCG,PERSONAL CARE,
KLM0005,KLM KLIN AHA FOAMING GEL 100G,,KLM LABORATORIES PVT LTD,PHARMA,OINTMENT,
KLM0007,KLMKLIN FACE WASH 100GMS,,IND-INDO HERBAL,FMCG,PERSONAL CARE,
KLM0008,KLM C-20 10ML SERUM,,KLM LABORATORIES PVT LTD,PHARMA,LIQUID,
KLM0012,KLM-FX 180MG TAB 10'S,,KLM LABORATORIES PVT LTD,PHARMA,TABLET,
KLM0015,KLMC-1000 EFFERVESCENT TAB 20'S,,KLM LABORATORIES PVT LTD,PHARMA,TABLET,
KLM0022,KLM C-20 SERUM 15ML,,KLM LABORATORIES PVT LTD,PHARMA,SERUM,
KLO0034,KLONAZ-0.25MG TAB 10'S,,AARTHI HEALTHCARE PVT LTD,PHARMA,TABLET,
KLO0039,KLOTRAN CAP 10'S,,ACCUREX BIOMEDICAL PVT.LTD,PHARMA,CAPSULE,
KLO0099,KLONAZ 0.5MG TAB 10'S,,KIVI LABS LIMITED,PHARMA,TABLET,
KLO0107,KLOOVA CREAM 30G,,3GEN PHARMACEUTICALS,PHARMA,OINTMENT,
KMA0001,K-MAC SYRUP 200ML,,FOURRTS (INDIA) LABORATORIES PVT LTD,PHARMA,LIQUID,
KME0007,K-MET 500MG PR TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KMO0002,K-MOXI EYE DROPS 5ML,,ACCURA CARE PHARMACEUTICALS PVT LTD,PHARMA,DROPS,
KNE0015,KNEE IMMOBILISER MEDIUM (MGRM),,MGRM  MEDICARE  LIMITED,SURGICAL,RE-HABILITATION,
KNE0029,KNEE CAP (L) VISSCO,,VIS-VISSCO REHABILITATION AIDS,SURGICAL,RE-HABILITATION,
KNE0034,KNEE CAP-XL-0703(MGRM),,MGRM  MEDICARE  LIMITED,SURGICAL,RE-HABILITATION,
KNE0035,KNEE CAP-XXL-0703(MGRM),,MGRM  MEDICARE  LIMITED,SURGICAL,RE-HABILITATION,
KNE0056,KNEE CAP (M) TYNOR,,TYC-TYCO HEALTHCARE,SURGICAL,RE-HABILITATION,
KNE0061,KNEE SUPORT XL 0701 {M.G.R.M],,MGRM  MEDICARE  LIMITED,SURGICAL,RE-HABILITATION,
KNE0115,KNEE CAP XXL (VISSCO),,VIS-VISSCO REHABILITATION AIDS,SURGICAL,RE-HABILITATION,
KNE0133,KNEE CAP SINGLE XL (TYNOR),,TYN-TYNOR,SURGICAL,RE-HABILITATION,
KNE0141,KNEE CAP LARGE (TYNOR),,TYNOR PHARMA,SURGICAL,RE-HABILITATION,
KNE0145,KNEE CAP XL (TYNOR),,TYNOR PHARMA,SURGICAL,RE-HABILITATION,
KNE0181,KNEE SUPPORT HINGED  LARGE (TYNOR),,TYNOR PHARMA,SURGICAL,RE-HABILITATION,
KNE0210,KNEE IMMOBILIZER XL (TYNOR),,TYN-TYNOR,SURGICAL,RE-HABILITATION,
KNE0269,KNEEWELL TAB 10'S,,NOVA HEALTHCARE LTD,PHARMA,TABLET,
KNE0313,KNEE CAP COMFEEL XXL (TYNOR),,TYNOR PHARMA,SURGICAL,RE-HABILITATION,
KNE0339,KNEBOFLEX PAIN LINIMENT 75ML (PERSEUS),,PERSEUS BIOTECH,FMCG,AYURVEDIC,
KOB0016,KOBACAR TAB 10'S,,SEPTALYST LIFESCIENCES PVT LTD,PHARMA,TABLET,
KOC0015,KOCEE-H 15GM OINT,,GRACEWELL PHARMA PVT LTD,PHARMA,OINTMENT,
KOF0002,KOFAREST EXPECTORANT SYRUP 100ML,,CENTAUR PHARMACETICALS PVT LTD,PHARMA,LIQUID,
KOF0003,HIMALAYA KOFLET SYRUP 100 ML,,THE HIMALAYA DRUG COMPANY-(PHARMA),FMCG,OTC,
KOF0023,HIMALAYA KOFLET LOZENGES 10'S,,THE HIMALAYA DRUG COMPANY-(WELLNESS),FMCG,OTC,
KOF0035,KOFOL LOZENGES,,CHARAK PHARMA PVT LTD,FMCG,OTC,
KOF0074,KOFLET H TAB,,THE HIMALAYA DRUG COMPANY-(PHARMA),FMCG,SUPPLEMENTS,
KOF0081,KOFLET-H LOZENGES(GINGER FLV),,THE HIMALAYA DRUG COMPANY-(WELLNESS),FMCG,OTC,
KOF0082,KOFLET-H LOZENGES(LEMON FLV),,THE HIMALAYA DRUG COMPANY-(WELLNESS),FMCG,OTC,
KOF0102,KOFLET 175 25 FREE LOZENGE,,THE HIMALAYA DRUG COMPANY-(PHARMA),FMCG,OTC,
KOF0105,KOFSY SYRUP 100ML,,CURETEZ PHARMA,PHARMA,LIQUID,
KOF0129,KOFRID-D TAB 10'S,,MERIDIAN HEALTHCARE,PHARMA,TABLET,
KOF0158,KOFROOT 100ML SYP.,,3M INDIA LTD,PHARMA,TABLET,
KOG0002,KOGIUM-HQ 15GM CREAM,,REGIUM PHARMACEUTICALS,PHARMA,OINTMENT,
KOJ0001,KOJIVIT 15 GM GEL,,MICRO LABS LTD,PHARMA,OINTMENT,
KOJ0003,KOJIC SKIN CREAM 25G,,CURATIO HEALTH CARE PVT LTD,PHARMA,OINTMENT,
KOJ0006,KOJIWIN CREAM 10G,,KOSMICA DERMA CARE,PHARMA,OINTMENT,
KOJ0009,KOJITIN 15GM GEL,,GLENMARK PHARMACEUTICAL LTD,PHARMA,OINTMENT,
KOJ0013,KOJIVIT PLUS 15GM GEL,,MICRO LABS LTD,PHARMA,OINTMENT,
KOJ0017,KOJIGLO FORTE CREAM 15G,,ALKEM LABORATORIES LTD,PHARMA,OINTMENT,
KOJ0021,KOJIVIT ULTRA 30GM GEL,,MICRO LABS LTD,PHARMA,OINTMENT,
KOJ0029,KOJIGLO-GOLD 20GM SKIN LIGHTENING CREAM,,ALKEM LABORATORIES LTD,PHARMA,OINTMENT,
KOJ0035,KOJIGLO 20GM SKIN LIGHTENING GEL,,ALKEM LABORATORIES LTD,PHARMA,GEL,
KOJ0036,KOJIGLO FORTE 20GM SKIN LIGHTENING CREAM,,ALKEM LABORATORIES LTD,PHARMA,OINTMENT,
KOL0125,KOLBET-CM TAB 15'S,,RADICOOL PHARMACEUTICAL PVT LTD,PHARMA,TABLET,
KOM0012,KOMBIGLYZE XR 5/1000MG TAB 7'S,,ASTRA ZENECA PHARMA INDIA LTD,PHARMA,TABLET,
KOM0013,KOMBIGLYZE XR 5/500MG TAB 7'S,,ASTRA ZENECA PHARMA INDIA LTD,PHARMA,TABLET,
KON0006,KONDRO ACUTE TAB 10'S,,PAN-PANCEA-BIOTEC,PHARMA,TABLET,
KON0055,KONAZ CT LOTION 60ML,,TALENT INDIA LTD,PHARMA,LOTION,
KOP0017,KOPASURE HAIR SERUM 50ML,,DERMACIA HEALTHCARE LTD,PHARMA,SERUM,
KOR0001,KORANDIL 10MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
KOR0002,KORANDIL 5MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
KOR0027,KORTUF-6MG TAB 10'S,,KLM LABORATORIES PVT LTD,PHARMA,TABLET,
KOV0005,KOVITE ACTIVE GEL 20ML,,LYRA LABORATORIES LTD,PHARMA,OINTMENT,
KOZ0005,KOZIMAX CREAM 9G,,ALLERGAN IND PVT LTD,PHARMA,OINTMENT,
KOZ0015,KOZICARE CREAM 15G,,WEST COAST PHARMACEUTICALS PVT LTD,PHARMA,OINTMENT,
KOZ0016,KOZILITE H 20GM  CREAM,,ETHICARE REMEDIES PVT LTD,PHARMA,OINTMENT,
KPI0005,K-PIO-GM 2 MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KQS0001,KQ-SOME SOFTGEL CAP 10'S,,NUCLEOSOME CARE PHARMA LLP,PHARMA,CAPSULE,
KRA0002,KRACK HEEL REPAIR CREAM 25G,,RECKITT BENCKISER INDIA LTD,FMCG,OTC,
KRA0043,KRACK HAPPY FEET HEEL REPAIR CREAM 15GM (RECKITT),,RECKITT BENCKISER INDIA LTD,FMCG,AYURVEDIC,
KRE0030,KRELOGEM-K SOFTGEL CAP 10'S,,CRMS PHARMACEUTICALS PVT LTD,PHARMA,CAPSULE,
KRE0031,KREMRAB-D CAP 10'S,,CRMS PHARMACEUTICALS PVT LTD,PHARMA,CAPSULE,
KRI0001,KRIMSON 35MG TAB 1'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
KRI0009,KRISTAL 300MG TAB 10'S,,ACCUREX BIOMEDICAL PVT.LTD,PHARMA,TABLET,
KRI0019,KRIMIHAR 100ML SYP,,LIO-LION AYURVADIC,FMCG,OTC,
KRI0039,KRIFEMO CHEW TAB 10'S,,CENTRENO HEALTHCARE,PHARMA,TABLET,
KRO0017,KROMALITE 15GM CREAM,,FDC LTD,PHARMA,OINTMENT,
KRY0001,KRYPTOVIT CAP 10'S,,KRYPTON PHARMACEUTICALS,PHARMA,CAPSULE,
KRY0003,KRYXANA 200MG TAB 21'S,,NOVARTIS INDIA LTD,PHARMA,TABLET,
KSA0001,K-STAT 500MG TAB 10'S,,MERCURY HEALTH CARE PVT LTD,PHARMA,TABLET,
KSC0003,KS CARE STERILE GAUGE SWAB 10X10CMX12PLY (K.S SURGICAL),,K.S SURGICAL PVT LTD,SURGICAL,CONSUMABLES,
KST0001,K-STAT 250MG TAB 10'S,,MERCURY HEALTH CARE PVT LTD,PHARMA,TABLET,
KST0003,K-STAT ET TAB 10'S,,MERCURY HEALTH CARE PVT LTD,PHARMA,TABLET,
KTS0002,KT-SOFT SHAMPOO 60ML,,ELLEDERMA,FMCG,SHAMPOO,
KUF0075,KUFFSTAR SYP 100ML,,KUSUM HEALTHCARE PVT LTD,PHARMA,LIQUID,
KUK0001,KUKA COUGH SYRUP 100ML,,ADONIS LABORATORIES PVT LTD,FMCG,OTC,
KUK0002,KUKA  50S TAB,,THE HIMALAYA DRUG COMPANY,FMCG,OTC,
KUR0023,KURAVIT 4G SOFTGEL CAP 10'S,,REYNOX LIFESCIENCES,PHARMA,CAPSULE,
KVI0009,K-VIT FACIAL SERUM 30ML,,SESDERMA INDIA PVT LTD,PHARMA,LIQUID,
KVO0003,K VOG 0.3MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KVO0004,K-VOG 0.2MG TAB 15'S,,BLUE CROSS LABORATORIES PVT LTD,PHARMA,TABLET,
KWI0043,KWID-16MG TAB 10'S,,AQUAZEN,PHARMA,TABLET,
KYR0005,KYRAH TAB 21'S,,JAGSONPAL PHARMACEUTICALS LTD,PHARMA,TABLET,
KZ20002,KZ 2%W/W DUSTING POWDER 100G,,HEGDE & HEGDE PHARMACEUTICALS PVT LTD,PHARMA,POWDER,
KZ30001,KZ 30 GM CREAM,,H&H PHARMACEUTICALS LTD,PHARMA,OINTMENT,
KZ50001,KZ 50ML LOTION,,H&H PHARMACEUTICALS LTD,PHARMA,LIQUID,
KZ70001,KZ 75GM SOAP,,H&H PHARMACEUTICALS LTD,FMCG,PERSONAL CARE,
KZX0001,KZ-XL 2%W/W CREAM 50G,,HEGDE & HEGDE PHARMACEUTICALS PVT LTD,PHARMA,OINTMENT,
KZY0001,K-ZYME SYP 200ML,,MEDIFAITH BIOTECH,PHARMA,LIQUID,
LAB0020,LABEBET 100MG TAB 10'S ***,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAB0022,LABEBET 100MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAB0026,LABEBET INJ 2ML,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,INJECTION,
LAB0041,LABOCOF TAB 10'S,,LABORATE PHARMA LTD,PHARMA,TABLET,
LAB0056,LABDIC RELIEF TAB 10'S,,LABORATE PHARMA LTD,PHARMA,TABLET,
LAB0085,LABEBET 200 TAB 10'S,,SUN PHARMA LABORATORIES LTD.,PHARMA,TABLET,
LAC0004,LACRISOL 10ML EYE DROP,,MICRO LABS LTD,PHARMA,DROPS,
LAC0011,LACTODEX  NO - 2  -  500 GRM,,RAPTAKOS BRETT & CO LTD,FMCG,BABY CARE,
LAC0025,LACTIHEP 200ML SYP,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,LIQUID,
LAC0026,LACOMA - T 2.5ML DROPS,,AJANTA PHARMA LTD,PHARMA,DROPS,
LAC0027,LACRIGEL EYE OINTMENT 5G,,SUNWAYS INDIA PVT LTD,PHARMA,OINTMENT,
LAC0028,LACALM PLUS TAB 10'S,,LA PHARMACEUTICALS LTD,PHARMA,TABLET,
LAC0029,LACTOVIT TABS,,MEDISPAN LTD,PHARMA,TABLET,
LAC0031,LACTOGEN 1 400G REFILL,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0033,LACTOGEN 3 400G REFILL,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0037,LACTOGEN 2 400G REFILL,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0038,LACTOGEN 1 400G TIN,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0040,LACTODEX NO.1  500G/450G TIN,,RAPTAKOS BRETT & CO LTD,FMCG,BABY CARE,
LAC0041,LACTODEX-HMF SACHET 2G,,RAPTAKOS BRETT & CO LTD,FMCG,BABY CARE,
LAC0045,LACTARE CAP,,TTK HEALTHCARE LTD,FMCG,OTC,
LAC0050,LACARNIT TAB 10'S,,LA RENON HEALTHCARE PVT LTD,PHARMA,TABLET,
LAC0051,LACTARE GRANULS 200G,,TTK HEALTHCARE LTD,PHARMA,POWDER,
LAC0053,LACTAGARD 1.5 GM INJ,,IPCA LABORATORIES PVT LTD,PHARMA,INJECTION,
LAC0054,LACTOGEN 4 400G REFILL,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0062,LACRYL PF 5GM EYE GEL,,ENTOD PHARMACETICALS LTD,PHARMA,OINTMENT,
LAC0067,LACARNIT 5ML   INJ,,LA RENON HEALTHCARE PVT LTD,PHARMA,INJECTION,
LAC0068,LACTACYD LOTIN 100ML,,SANOFI AVENTIS INDIA LTD,PHARMA,LIQUID,
LAC0075,LACTODEX NO.3  500G/450G TIN,,RAPTAKOS BRETT & CO LTD,FMCG,BABY CARE,
LAC0080,LACOM CV 625MGTAB 10'S,,COMED CHEMICALS PVT LTD,PHARMA,TABLET,
LAC0100,LACTIFIBER 90GM POWDER,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,POWDER,
LAC0126,LACTIHEP 450ML SYP,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,LIQUID,
LAC0165,LACRIMOS 0.5%EYE DROPS 10ML,,LUPIN LABORATORIES LTD,PHARMA,DROPS,
LAC0166,LACRIMOS 1%EYE DROPS 10ML,,LUPIN LABORATORIES LTD,PHARMA,DROPS,
LAC0180,LACTOGUT CAP 10'S,,MEDISPAN LTD,PHARMA,CAPSULE,
LAC0182,LACOSAM 100MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0183,LACOSAM 50MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0186,LACTIFIBER 180GM POWDER,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,POWDER,
LAC0195,LACOSAM 200MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0197,LACOSET 50MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAC0198,LACOSET 100MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAC0206,LACSYRUP SYRUP 200ML,,CIPLA LTD,PHARMA,LIQUID,
LAC0211,LACSYRUP SYRUP 100ML,,CIPLA LTD,PHARMA,LIQUID,
LAC0215,LACOSET 150MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAC0223,LACOSET 200MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAC0229,LACOSET 200MG TAB 10'S ***,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
LAC0245,LACNE FACE WASH 60ML,,LA PRISTINE BIOCEUTICALS LTD,PHARMA,OINTMENT,
LAC0247,LACNE 20MG CAP 10'S,,LA PRISTINE BIOCEUTICALS LTD,PHARMA,TABLET,
LAC0263,LACOSAM 200ML  SYP,,TORRENT (AZUCA),PHARMA,LIQUID,
LAC0272,LACOMA PF 2.5ML EYE DROPS,,AJANTA PHARMA LTD,PHARMA,DROPS,
LAC0329,LACTOVIT PLUS CAP 10'S,,MEDISPAN LTD,PHARMA,CAPSULE,
LAC0336,LACSOFT CREAM 50G,,IPCA LABORATORIES PVT LTD,PHARMA,OINTMENT,
LAC0355,LACOTIDE 100MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
LAC0356,LACOTIDE 50MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
LAC0360,LACOTIDE 150MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
LAC0361,LACOTIDE 200MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
LAC0389,LAC SOFT C 30GM GEL,,IPCA LABORATORIES PVT LTD,PHARMA,OINTMENT,
LAC0392,LACTODEX-HMF SACHET 1G,,RAPTAKOS BRETT & CO LTD,FMCG,BABY CARE,
LAC0398,LACTAWAYS 200GM ELAICHI FLAVOUR GRANULES,,MANKIND PHARMA PVT LTD,PHARMA,POWDER,
LAC0400,LACRIVUE ULTRA 10ML EYE DROPS,,ALERCON PHARMA PVT LTD,PHARMA,DROPS,
LAC0431,LAC-WASH 100ML DAILY INTIMATE WASH,,BSA PHARMA INC,PHARMA,LIQUID,
LAC0449,LACTIHEP PLUS 250ML ORAL EMULSION,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,LIQUID,
LAC0451,LAC-P TAB 10'S,,SNU BIOCARE,PHARMA,TABLET,
LAC0457,LACRYL HYDRATE 10ML EYE DROPS,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
LAC0466,LACRIMOS-GX 1%W/V EYE DROPS 10ML,,LUPIN LABORATORIES LTD,PHARMA,DROPS,
LAC0487,LACRYL FORTE 0.3%W/V EYE DROPS 10ML,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
LAC0502,LACOSAM 200MG TAB 15'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0505,LACTISYN 500MILLION CELLS SACHET 1G,,FRANCO INDIA PHARMACEUTICALS PVT LTD,PHARMA,POWDER,
LAC0512,LACOSAM 100MG TAB 15'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0514,LACNE ACNE SPRAY 50ML,,LA PRISTINE BIOCEUTICALS LTD,PHARMA,SPRAY,
LAC0516,LACOSAM 50MG TAB 15'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAC0517,LACTIFIT 10GM S/F SOLU 200ML,,MEDICITA PHARMA PVT LTD,PHARMA,LIQUID,
LAC0529,LACTOGROW BISCUITY & VANILLA FLAVOUR 400G,,NESTLE INDIA LTD,FMCG,BABY CARE,
LAC0537,LACTIFIBER 10G SYRUP 180ML,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,LIQUID,
LAC0565,LACIBOL GRANULES 90G,,BSA PHARMA INC,PHARMA,POWDER,
LAC0567,LACTINOM CAP 10'S,,MRL PHARMA PVT LTD,PHARMA,CAPSULE,
LAD0011,LADUX 30 TAB 10'S,,DRU-DRUKST BIOTEC,PHARMA,TABLET,
LAF0024,LAFAXID 10MG TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
LAF0027,LAFAXID-D TAB 10'S,,ZUVENTUS HEALTHCARE LTD,PHARMA,TABLET,
LAG0014,LAGLO FACE WASH GEL 100G,,CADILA HEALTHCARE LTD,FMCG,OINTMENT,
LAH0002,LAHEXY TAB 10'S,,MANAS PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
LAL0003,DABUR LAL TAIL 50 ML,,DABUR INDIA LTD,FMCG,BABY CARE,
LAM0002,LAMETEC DT 100MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
LAM0005,LAMETEC DT 50MG TAB 10'S ***,,CIPLA LTD,PHARMA,TABLET,
LAM0006,LAMETEC DT 25MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
LAM0007,LAMETEC DT 50MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
LAM0010,LAMITOR DT 100 MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAM0012,LAMITOR OD 100MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAM0013,LAMITOR OD 200MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
LAM0014,LAMITOR OD 50MG TAB 10'S,,TORRENT (AZUCA),PHARMA,TABLET,
